ZONE T="first 0", I=  42, F=POINT
 -1.36786   0.42780
 -1.31401   0.51206
 -1.25710   0.59429
 -1.19679   0.67406
 -1.13287   0.75096
 -1.08818   0.80043
 -1.04179   0.84831
 -0.99372   0.89450
 -0.94397   0.93888
 -0.89257   0.98133
 -0.83956   1.02177
 -0.78500   1.06008
 -0.72896   1.09618
 -0.67150   1.12999
 -0.61271   1.16143
 -0.55269   1.19044
 -0.49153   1.21696
 -0.42933   1.24096
 -0.36620   1.26238
 -0.30225   1.28122
 -0.23759   1.29747
 -0.17234   1.31111
 -0.10659   1.32217
 -0.04047   1.33068
  0.02593   1.33667
  0.09250   1.34019
  0.15916   1.34132
  0.22581   1.34013
  0.29239   1.33673
  0.35883   1.33121
  0.42507   1.32371
  0.49108   1.31436
  0.58960   1.29721
  0.68750   1.27683
  0.78483   1.25388
  0.88171   1.22907
  0.97830   1.20319
  1.07482   1.17705
  1.17149   1.15146
  1.26850   1.12720
  1.36600   1.10494
  1.46404   1.08524
